사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
24-Jan,2호선,235,문래,24,1,4024,2427,14235,10808,45407,38085,51176,144085,27794,68051,19537,27915,20316,24034,25082,25687,26577,27519,26353,25190,29048,26847,36262,29930,66180,41172,121492,64395,44726,44908,30165,23665,32640,19950,25051,17658,11573,10817,1912,3560,2,67,0,1,0,0
24-Jan,2호선,236,영등포구청,16,3,5404,3561,12483,15413,40525,39319,50154,129457,30116,53280,22446,27808,23341,25403,26621,26601,28005,29642,30455,27799,32800,28491,39914,31629,61718,39437,108646,61069,39965,40300,31017,23650,28932,20917,21118,18237,9579,12597,1654,4314,1,133,0,0,0,0
24-Jan,2호선,237,당산,40,0,6604,3136,16715,12230,44349,26360,55781,76281,33177,33506,22610,17698,22322,16879,23573,17954,22786,20247,20700,20311,22407,23707,25888,29562,40664,46166,58799,73611,24959,49798,19599,32179,18642,31186,16614,27359,7939,18383,1307,4563,1,131,0,0,0,0
24-Jan,2호선,238,합정,96,14,10422,2665,19124,13284,44478,31570,54928,99049,36485,86764,26395,52009,28920,49729,34327,53982,39285,61450,42362,55946,47421,57040,56134,65650,78782,86583,120836,119878,79612,80094,66215,43612,73826,33427,70206,29283,36161,20161,6119,7558,1,198,0,0,0,0
24-Jan,2호선,239,홍대입구,1338,50,30144,3716,33450,17347,64493,38310,79882,110603,58131,127380,50298,101765,58234,125123,69665,154647,79216,171009,91672,160875,113685,161890,142666,166806,175990,195045,209961,234177,170416,164860,167322,95274,194920,74575,191145,60494,95760,42609,11892,15904,3,1809,0,0,0,0
24-Jan,2호선,240,신촌,91,7,7143,2871,14210,15112,37707,33850,54284,80075,37500,95004,36312,65299,44157,62214,57709,67260,61018,77370,65082,65511,73682,61769,83614,65505,100645,86384,98222,114583,67966,77364,70540,44442,72525,37989,70174,33157,33155,22371,5556,6209,2,139,0,1,0,0
24-Jan,2호선,241,이대,41,0,3544,908,9245,6001,29332,11210,38571,39177,23257,30600,17871,23116,19131,20609,23740,24427,23358,24708,22946,22534,26545,23246,28774,24913,39798,32100,34985,46478,21627,34790,17360,23455,15945,21626,13780,21527,4998,15089,692,4172,0,82,0,0,0,0
24-Jan,2호선,242,아현,13,1,4919,780,10737,4149,30140,8561,43975,17008,24764,13022,17456,10296,16294,10005,17700,10833,16799,12972,14841,14028,15818,16163,17156,18075,19285,24298,19601,36010,11589,26478,8948,17672,6312,16649,4533,15380,1959,9558,377,2757,1,35,0,0,0,0
24-Jan,2호선,243,충정로(경기대입구),20,1,3040,1071,6648,6389,16093,24095,23106,65406,15142,28797,11630,13233,11998,10795,12183,10928,13319,13299,13623,11908,14122,12262,16789,13214,33531,17137,50454,23276,17229,16315,11490,11226,10942,10607,7190,9333,3197,6049,577,1922,1,57,0,0,0,0
24-Jan,2호선,244,용답,0,0,2000,369,3067,959,7444,1695,14435,2838,7764,2291,5046,1884,4395,2468,4658,2776,4716,3147,4162,3705,4105,4577,4449,5739,4788,7053,3856,11812,2390,8136,1542,5351,1245,6026,903,5517,420,3218,117,1084,0,0,0,0,0,0
